nĂ©v,Ăˇr,raktĂˇrkĂ©szlet,kategĂłria
Alma,255,12,GyĂĽmĂ¶lcs
BanĂˇn,350,10,GyĂĽmĂ¶lcs
Narancs,480,8,GyĂĽmĂ¶lcs
KĂ¶rte,600,6,GyĂĽmĂ¶lcs
Paradicsom,520,7,ZĂ¶ldsĂ©g
Uborka,380,9,ZĂ¶ldsĂ©g
Paprika,410,11,ZĂ¶ldsĂ©g
Hagyma,270,15,ZĂ¶ldsĂ©g
KenyĂ©r,480,5,PĂ©kĂˇru
Zsemle,150,25,PĂ©kĂˇru
Kifli,180,20,PĂ©kĂˇru
Tej,330,10,TejtermĂ©k
Sajt,650,8,TejtermĂ©k
Joghurt,210,12,TejtermĂ©k
TojĂˇs,100,15,TojĂˇs
Liszt,250,18,Alapanyag
Cukor,200,22,Alapanyag
SĂł,90,30,Alapanyag
Olaj,500,14,Alapanyag
Vaj,400,9,TejtermĂ©k
KakaĂł,450,11,Ital
ĂśdĂ­tĹ‘,350,13,Ital
VĂ­z,150,30,Ital
KĂˇvĂ©,1200,7,Ital
Tea,500,10,Ital
Csoki,400,8,Ă‰dessĂ©g
Keksz,250,20,Ă‰dessĂ©g
RĂˇgĂł,150,25,Ă‰dessĂ©g
MĂĽzli,350,12,Ă‰dessĂ©g
Chips,180,22,RĂˇgcsĂˇlnivalĂł
Ropi,130,15,RĂˇgcsĂˇlnivalĂł
SĂ¶r,800,5,Alkohol
Bor,1500,6,Alkohol
Whisky,3500,3,Alkohol
Vodka,2500,4,Alkohol
TĂ©szta,450,18,Alapanyag
Rizs,550,14,Alapanyag
Konzervbab,200,20,Konzerv
Hal konzerv,550,8,Konzerv
Kukoricakonzerv,300,10,Konzerv
Puding,350,15,TejtermĂ©k
FelvĂˇgott,500,9,HĂşsĂˇru
KolbĂˇsz,750,7,HĂşsĂˇru
SzalĂˇmi,950,5,HĂşsĂˇru
Csirkecomb,700,6,HĂşsĂˇru
MarhahĂşs,1200,4,HĂşsĂˇru
Hal,800,8,HĂşsĂˇru
Fagylalt,500,15,Fagyasztott
Pizza,1500,10,Fagyasztott
ZĂ¶ldborsĂł,350,20,Fagyasztott
BanĂˇn,350,10,GyĂĽmĂ¶lcs
Narancs,480,8,GyĂĽmĂ¶lcs
KĂ¶rte,600,6,GyĂĽmĂ¶lcs
Paradicsom,520,7,ZĂ¶ldsĂ©g
Uborka,380,9,ZĂ¶ldsĂ©g
Paprika,410,11,ZĂ¶ldsĂ©g
Hagyma,270,15,ZĂ¶ldsĂ©g
KenyĂ©r,480,5,PĂ©kĂˇru
Zsemle,150,25,PĂ©kĂˇru
Kifli,180,20,PĂ©kĂˇru
Tej,330,10,TejtermĂ©k
Sajt,650,8,TejtermĂ©k
Joghurt,210,12,TejtermĂ©k
TojĂˇs,100,15,TojĂˇs
Liszt,250,18,Alapanyag
Cukor,200,22,Alapanyag
SĂł,90,30,Alapanyag
Olaj,500,14,Alapanyag
Vaj,400,9,TejtermĂ©k
KakaĂł,450,11,Ital
ĂśdĂ­tĹ‘,350,13,Ital
VĂ­z,150,30,Ital
KĂˇvĂ©,1200,7,Ital
Tea,500,10,Ital
Csoki,400,8,Ă‰dessĂ©g
Keksz,250,20,Ă‰dessĂ©g
RĂˇgĂł,150,25,Ă‰dessĂ©g
MĂĽzli,350,12,Ă‰dessĂ©g
Chips,180,22,RĂˇgcsĂˇlnivalĂł
Ropi,130,15,RĂˇgcsĂˇlnivalĂł
SĂ¶r,800,5,Alkohol
Bor,1500,6,Alkohol
Whisky,3500,3,Alkohol
Vodka,2500,4,Alkohol
TĂ©szta,450,18,Alapanyag
Rizs,550,14,Alapanyag
Konzervbab,200,20,Konzerv
Hal konzerv,550,8,Konzerv
Kukoricakonzerv,300,10,Konzerv
Puding,350,15,TejtermĂ©k
FelvĂˇgott,500,9,HĂşsĂˇru
KolbĂˇsz,750,7,HĂşsĂˇru
SzalĂˇmi,950,5,HĂşsĂˇru
Csirkecomb,700,6,HĂşsĂˇru
MarhahĂşs,1200,4,HĂşsĂˇru
Hal,800,8,HĂşsĂˇru
Fagylalt,500,15,Fagyasztott
Pizza,1500,10,Fagyasztott
ZĂ¶ldborsĂł,350,20,Fagyasztott
